REGION,jakarta-108001534490276204
CITY,surabaya-108001534490276270
CITY,semarang-108001534490276289
CITY,bogor-108001534490276382
CITY,palembang-108001534490279897
CITY,malang-108001534490278480
CITY,makassar-108001534490277183
REGION,bali-108001534490276212
AREA,puncak-201001548832314215
REGION,east-java-108001534490276152
REGION,seoul-108001534490389145
REGION,bangkok-metropolis-108001534490299769
REGION,phuket-108001534490293543
AREA,batu-111001541059434087
CITY,yogyakarta-108001534490276494
CITY,medan-108001534490276532
REGION,chon-buri-108001534490302115
POI,taman-wisata-candi-borobudur-110001539700829863
CITY,solo-108001534490276270
AREA,malioboro-109001536035333825
REGION,west-nusa-tenggara-108001534490280165
REGION,kuala-lumpur-108001534490352185
REGION,chiang-mai-108001534516909059
AREA,nusa-dua-108001534490284570
REGION,central-java-108001534490276205
REGION,surat-thani-108001534490299367
CITY,south-jakarta-108001534490276351
CITY,bandung-108001534490276290
AREA,labuan-bajo-108001534490276882
REGION,osaka-108001534490388813
CITY,central-jakarta-108001534490276305
AREA,lembang-108001534490276465
REGION,penang-108001534490322728
CITY,batam-108001534490281904
REGION,tokyo-108001534490389009
AREA,mandalika-401001611283898787
AREA,likupang-108001534490385943
CITY,pekanbaru-108001534490276267
REGION,johor-108001534517072805
REGION,kyoto-108001534516895975
CITY,bekasi-108001534490302131
CITY,tangerang-108001534490278244
CITY,balikpapan-108001534490287589
AREA,seminyak-108001534490276671
CITY,cirebon-108001534490276979
REGION,krabi-108001534490353626
CITY,bandar-lampung-108001534490306395
CITY,padang-108001534490293434
AREA,kuta-108001534490276350
REGION,banten-108001534490276152